,Model,IFEval,Big_Bench_Hard,MuSR,Theta_2pl,Theta
0,flan-t5-large,22.01,17.51,9.01,0.9973116517066956,-0.04394058883190155
1,flan-t5-xl,22.37,22.7,11.33,1.3428791761398315,0.7946957945823669
2,flan-t5-base,18.91,11.34,3.22,-0.1458532065153122,-2.176414728164673
3,flan-t5-small,15.24,6.36,10.37,-0.1624327152967453,-2.0921528339385986
4,gemma-1.1-2b-it,30.67,5.86,2.02,0.7895515561103821,-0.5179804563522339
5,gemma-2-2b-it,56.68,17.98,7.08,0.8872189521789551,-0.051078327000141144
6,llama-3-8b-it,74.08,28.24,1.6,-0.3954698145389557,-2.4309825897216797
7,llama-3.2-1b-it,56.98,8.74,2.97,-0.031362660229206085,-1.9256843328475952
8,llama-3.2-3b-it,73.93,24.06,1.37,1.2624871730804443,0.3929205536842346
9,mistral-7b-it-v0.1,44.87,7.65,6.13,-0.1689872294664383,-2.1455888748168945
10,mistral-7b-it-v0.3,54.65,25.57,4.3,1.514039397239685,1.1247155666351318
11,mistral-8b-it-2410,58.96,25.82,10.72,1.9920928478240967,2.848233699798584
12,mistral-nemo-it-2407,63.8,29.68,8.48,1.78843355178833,2.417741060256958
13,olmo-7b-it,34.73,13.16,4.33,0.9320889711380005,-0.019254613667726517
14,olmoe-1b-7b-0924-it,46.67,14.57,6.07,1.442184567451477,1.2124344110488892
15,phi-3-medium-4k-it,64.23,49.38,13.05,0.7353402376174927,-0.262968510389328
16,phi-3-mini-4k-it,54.77,36.56,13.12,1.0755231380462646,-0.05625540018081665
17,phi-3.5-mini-it,57.75,36.75,10.1,1.4025051593780518,0.8749663233757019
18,phi-4-mini-it,73.78,38.74,6.45,1.6314321756362915,1.5835357904434204
19,qwen-2.5-0.5b-it,30.71,8.43,0.94,0.37388068437576294,-1.1512906551361084
20,qwen-2.5-1.5b-it,44.76,19.81,3.19,0.6610094308853149,-0.5438326597213745
21,qwen-2.5-3b-it,64.75,25.8,7.57,1.9897550344467163,3.419259548187256
22,qwen-2.5-7b-it-1m,74.48,35.03,9.52,2.0708861351013184,3.638943672180176
